Product ID,Product Name,Brand,Ingredients,Allergens ,,,,,,,,,,,,,,,,
33,Custard Cream Biscuit ,Maliban ,"Wheat four, Custard cream filling, Sugar, Vegetable fat (Palm oil), Sugar Syrup, Milk powder, Raising agents (E503a), Salt, Emulsifier (Soya lecithin), Artificial Vanilla, Custard 0.2%, Butter) flavours, Com starch, Humectant (E 422], Permitted colour (E 1603, E 100).Custard cream filling contains: Sugar, Vegetable (Palm oil), Milk powder, Com starch, Artificial Manilla, Custard 0.1%, Butter) flavours, Salt, Emulsiher (Soya lecithin), Humectant (E 422), Permitted colour (E 1603, E 100).",,,,,,,,,,,,,,,,,
34,Milk Cream Biscuit,Munchee,,,,,,,,,,,,,,,,,,
35,Ginger Biscuit ,Munchee,"Wheat Flour, Sugar, Vegetable Oil, Ginger Powder, Leavening Agents (Sodium Bicarbonate (500ii), Ammonium Bicarbonate (503ii)], Salt, Pepper Powder and Emulsifier [Soya Lecithin (322)].",,,,,,,,,,,,,,,,,
36,Nice,Maliban,"Wheat flour, Sugar, Vegetable oil (Palm), Desiccated coconut 3%, Sugar syrup, Com starch, Glucose syrup, Leavening Agents (Ammonium bicarbonate - INS 503ii, Sodium bicarbonate - INS
500ii), Nature ideatical (Coconut, Milk, Vanilla flavours, Coconut milk powder, Salt, Emulsifier (Soya lecithin - INS 322), Milk powder, Malt (Barley) extract",,,,,,,,,,,,,,,,,
37,Tikiri Marie,Munchee,"Wheat Flour, Sugar, Palm Olein, Rice Flour, Malk Fowder, Malt (barley), salt, Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Emulsifier (Soya Lecithin), Flavouring (Vanilla) and Flour Treatment Agent (Sodium Metabisulphite).",,,,,,,,,,,,,,,,,
38,Choclate Marie,Munchee,"Wheat Flour, Sugar, Palm Olein, Com Starch, Milk Powder, Cocoa Powder, Mat, Glucose, lodized Sal, Leavening Agents Sodium Bicarbonate (50ii)), Ammonium Bicarbonate (503ii)), Nature dentical (Cholate) Rawer, Cholate (0.1%), Emulsifier (Soya Lecithin (322), Flour Treatment Agent (Sodium Metatisulphite (223)] and Permitted Natural Colour (Caramel Class IV (150d)]",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,Mayonnaise,Edinborough,"Rapesed owlSunfower oil 48%), Water, Sugar, modified maize starch (INS 1442, INS 1450), lodized table salt, Acetic acid (INS 260), Sodium carboxymethyl cellulose (INS 466), Mustard (1 %), Potassium sorbate (INS 202), Citric acid (INS 330), Artificial/ Nature identical vanilla flavour, Calcium disodium EDTA (INS 385) Carmoisine colour (INS 122), Tartrazine colour (INS 102).",,,,,,,,,,,,,,,,,
2,Mustard Cream,Keells,"Margarine, Corn Flour, Water, Mustard, turmeric, Sugar, Common Salt Citric Acid (INS 330), Vinegar Potassium Sorbate (INS 20)",,,,,,,,,,,,,,,,,
3,Mustard Cream Spread ,Edinborough,"Water,Margarine,Wheat flour,Mustard powder (4%),Sugar,Iodized table salt,Cinnamon,Cardamom,Clove,Acetic acid(INS 260),& Potassium sorbate (INS 202).",,,,,,,,,,,,,,,,,
4,Lemon Mustard,Dad's garden,"sugar, vinegar, spices & herbs (mustard (4.4%), ginger, turmeric), salt, corn starch, lemon (1%), stabilisers (xanthan gum INS-415 pectin INS-440).",,,,,,,,,,,,,,,,,
5,Teriyaki Cooking Sauce,Dad's garden,,,,,,,,,,,,,,,,,,
6,Fish Sauce ,Edinborough,"Tomato puree (water+Tomato paste), Sugar, Iodized salt, Vinegar, Modified starch, Spices, Garlic powder, Natural caramel, Soya bean oil, Natural flavourings, Smoke flavourings, Permitted food preservative (E202).",,,,,,,,,,,,,,,,,
7,Chilli Sauce ,MD,"Tomato Paste, Water, Sugar, Chilli powder, Vinegar, Ginger & Garlic paste, Salt, Cinnamon, Cardamom, Cloves, Nutmeg & Permitted Preservatives Potassium Sorbate (E 202) & Sodium Metabisulphite (E 223)",,,,,,,,,,,,,,,,,
8,Tomato Sauce,MD ,"Tomato Paste, Water, Sugar, Chilli Powder, Vinegar, Salt, Ginger & Garlic Paste, Cloves, Nutmeg, Cinnamon, Cardamom & Permitted Preservatives Potassium Sorbate (E 202) & Sodium Metabisulphite (E 223)",,,,,,,,,,,,,,,,,
9,Kochchi Sauce ,Edinborough,"Water,Kochchi chili,Sugar,Garlic pulp,Modified maize/ tapioca starch (INS 1442),Iodized table salt,Acetic acid (INS 260),Potassium sorbate (INS 202),Xanthan gum (INS 415)",,,,,,,,,,,,,,,,,
10,Soya Bean Sauce ,Edinborough,"	
Tomato puree (water+Tomato paste), Sugar, Iodized salt, Vinegar, Modified starch, Spices, Garlic powder, Natural caramel, Soya bean oil, Natural flavourings, Smoke flavourings, Permitted food preservative (E202)",,,,,,,,,,,,,,,,,
11,Thai Sweet Chilli,Dad's garden,"sugar, vinegar, garlic, salt, spices & herbs (chilli (0.7%), stabilisers (xanthan gum INS-415, sodium carboxymethyl cellulose INS-466).",,,,,,,,,,,,,,,,,
12,Sweet Chiili Sauce ,Edinborough,"Water, Sugar (31%),Chilli (10%),Garlic, Modified maize/tapioca starch (INS 1442), lodized table salt, Acetic acid (INS 260), Potassium sorbate (INS 202).",,,,,,,,,,,,,,,,,
13,Mango BBQ,Dad's garden,"sugar, mango (11%), vinegar, garlic, tomato, spices & herbs (ginger, tamarind, pepper, mustard, chilli, salt, natural smoke flavour, stabiliser (xanthan gum INS-415).",,,,,,,,,,,,,,,,,
14,Green Chilli Sauce ,MD,"Green Chilli Pulp, Sugar, Vinegar, Salt, Ginger & Garlic Paste, Cinnamon, Cardamom, Cloves, Nutmeg & Permitted Colours (E 102, E 133)",,,,,,,,,,,,,,,,,
15,Soya Sauce ,Edinborough,"Water, Soya sauce extract (42% [Water, Soya beans, Wheat/Rice, Crystal salt], Natural caramel colour (INS 150c), Seed tapioca(Sago), Potassium sorbate (INS 202).","Soya, Wheat",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
17,Pasta Sauce ,Edinborough,"Tomato puree (Water +Tomato paste),Tomatoes,Canola oil/Sunflower oil,Onion,Iodized table salt,Sugar,Basil,Thyme,Rosemary,Oregano,Potassium sorbate (INS 202).",,,,,,,,,,,,,,,,,
18,BBQ Sauce ,Edinborough,"Water,Sugar,Dates,Tomato paste,Tamarind,Modified maize starch (INS 1442),Kithul treacle,Iodized table salt,Vegetable oil,Sodium citrate (INS 331),Acetic acid (INS 260),Citric acid (INS 330),Chilli powder,Nutmeg powder,Garlic powder,Xanthan stabilizer (INS 415),Nature identical smoke flavour,Potassium sorbate (INS 202),Basil,Onion powder,Pepper powder & Natural Caramel (INS 150c).",,,,,,,,,,,,,,,,,
19,Steak and Grill Sauce,Dad's garden,"sugar, vinegar, tomato, spices & herbs (ginger, tamarind, mustard, lemongrass, cinnamon, pepper, chilli, coriander, cumin, turmeric,
fenugreek, fennel, curry leaves, garcinia, clove, pandan leaves, cardamom), garlic, salt, onion, dates, sprats, stabiliser(xanthan gum INS-415), soybean, wheat starch, natural smoke flavour.","Mustard, Fish, Soybean, Wheat",,,,,,,,,,,,,,,,
20,Garlic and Chilli Sauce,Dad's garden," Sugar, Vinegar, Tomato, Garlic(3.4%), Spices & herbs (Chilli(1.3%), Ginger, Paprika, Pepper), Corn flour, Salt, Preservative (Potassium sorbate INS-202)",,,,,,,,,,,,,,,,,
21,Korean Spicy BBQ Sauce,Dad's garden,"Sugar, Vinegar, Tomato, Sesame, Salt, Spices & Herbs(ginger, mustard, tamarind, chilli, lemon grass, coriander, cumin, turmeric, cinnamon, fenugreek, fennel, curry leaves, garcinia, clove, pepper, screw pine, cardamom),Garlic, Palm oil, Onion, Maltodextrin, Mango, Dates, Soybean, Wheat starch, Sprats, Stabilisers(xanthan gum INS-415,pectin INS-440)"," Mustard, Fish, Soybean, Wheat",,,,,,,,,,,,,,,,
22,Sweet and Sour Wok Sauce ,Ma's Kitchen,"Sugar, Vinegar, Pineapple, Tomato, Garlic, Spice & Herbs (Ginger, Chilli, Pepper, Turmeric), Corn flour, Salt, Soybean, Wheat flour",,,,,,,,,,,,,,,,,
23,Chilli Mayonise ,Edinborough,"Vegetable oil (Rapeseed oil/ Sunflower oil),Water,Sugar,Modified maize starches (INS 1442,INS 1450),Citric acid (INS 330),Mustard,Sodium carboxymethyl cellulose (INS 466),Potassium sorbate (INS 202),Rapeseed oil/ Sunflower oil (41%),Chilli (12%),Acetic acid (INS 260),Iodized table salt,Egg,Calcium disodium EDTA (INS 385)",egg & mustard. May contain traces of milk,,,,,,,,,,,,,,,,
24,Nai Miris Red Sauce,Keells,"
Tomato Paste, Sugar, Water, Mango Paste, Nai Miris Paste, Corn Starch, Tapioca Starch, Sodium carboxymethyl cellulose (INS 466), Common Salt, Acetic acid (INS 260), Potassium sorbate (INS 202), Chilli Powder, Annatto Extracts (INS 160b), Clove Powder, Garlic Powder, Ginger Powder, Nutmeg Powder, Cinnamon Powder",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Wheat flour, whole meal flour, rice flour, corn flour, potato flour, tapioca starch, corn starch, glucose, glucose syrup, sugar, sugar syrup, malt extract, malt (barley), whey powder, milk powder, butter, margarine, desiccated coconut, cheese powder, peanut butter, cocoa powder, chocolate cream filling, custard cream filling, orange cream filling, vegetable oil (palm, coconut), palm olein, palm dein, hydrogenated palm kernel oil, vegetable fat, yeast, yeast extract, salt, iodized salt, chili flakes, chili powder, pepper powder, cumin, onion, coriander, natural spices, nature identical flavours (coconut, milk, vanilla, butter, almond, chocolate, lemon, cheese, chicken), artificial flavours (chocolate, milk, vanilla, lemon), natural lemon flavour, natural orange flavour, emulsifier (soy lecithin – INS 322, INS 481i), leavening agents (sodium bicarbonate – INS 500i/500ii, ammonium bicarbonate – INS 503ii, disodium diphosphate – INS 450(i), acid sodium pyrophosphate – INS 450), flour treatment agent (sodium metabisulphite – INS 223), humectant (glycerol – INS 422), antioxidant (E306, ascorbyl palmitate), permitted colours (carotene – INS 160a, caramel class IV – INS 150d, caramel class V – INS 150d, E100, E1603), acidity regulator (citric acid), rosemary plant extract.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Water, rapeseed oil, sunflower oil, palm oil, vegetable oil, margarine, canola oil, soybean oil, wheat flour, rice flour, corn flour, tapioca starch, maize starch, modified starch, seed tapioca (sago), tomato paste, tomato puree, tomatoes, mango, mango paste, pineapple, dates, kithul treacle, vinegar, acetic acid (INS 260), citric acid (INS 330), sodium citrate (INS 331), sugar, glucose, treacle, salt, iodized table salt, common salt, crystal salt, mustard, mustard powder, turmeric, ginger, garlic, garlic paste, garlic pulp, onion, onion powder, sprats, sesame, chili, chili powder, chili flakes, green chili pulp, kochchi chili, nai miris paste, paprika, pepper, cumin, coriander, fenugreek, fennel, curry leaves, garcinia, pandan leaves, screw pine, tamarind, lemon, lemon grass, cardamom, cloves, cinnamon, nutmeg, turmeric, rosemary, basil, thyme, oregano, smoke flavourings, nature identical smoke flavour, natural flavourings, artificial/nature identical vanilla flavour, stabilisers (xanthan gum – INS 415, pectin – INS 440, sodium carboxymethyl cellulose – INS 466), emulsifiers, egg, soybean, wheat starch, wheat, mustard, fish, preservatives (potassium sorbate – INS 202, sodium metabisulphite – INS 223), calcium disodium EDTA (INS 385), natural caramel colour (INS 150c), permitted colours (carmoisine – INS 122, tartrazine – INS 102, annatto – INS 160b, caramel class IV – INS 150d, caramel class V – INS 150d, E133).",,,,,,,,,,,,,,,,,,,
